阿爾法,aerfa
阿尔法,aerfa
阿尔法粒子,aerfalizi
阿爾法粒子,aerfalizi
阿尔泰紫菀,aertaiziwan
阿爾泰紫菀,aertaiziwan
阿爸,aba
阿兵哥,abingge
阿布叔醇,abushuchun
阿弟,adi
阿的平,adiping
阿爹,adie
吖啶,ading
阿梵達,afanda
阿梵达,afanda
阿飞,afei
阿飛,afei
阿芙蓉,afurong
阿哥,age
阿公,agong
阿訇,ahong
阿混,ahun
阿拉,ala
阿拉伯糖,alabotang
阿兰若,alanre
阿蘭若,alanre
阿利藤,aliteng
阿列夫,aliefu
阿羅漢,aluohan
阿罗汉,aluohan
阿妈,ama
阿媽,ama
阿貓阿狗,amaoagou
阿猫阿狗,amaoagou
阿妹,amei
阿門,amen
阿门,amen
阿们,amen
阿們,amen
阿米巴,amiba
阿米巴病,amibabing
阿米巴痢疾,amibaliji
阿米巴原蟲,amibayuanchong
阿米巴原虫,amibayuanchong
阿摩尼亞,amoniya
阿摩尼亚,amoniya
阿莫西林,amoxilin
阿木林,amulin
阿奶,anai
阿囡,anan
阿片,apian
阿飄,apiao
阿飘,apiao
阿婆,apo
阿普吐龍,aputulong
阿普吐龙,aputulong
阿奇霉素,aqimeisu
吖嗪,aqin
阿阇黎,asheli
阿闍梨,asheli
阿闍黎,asheli
阿阇梨,asheli
阿是穴,ashixue
阿斯巴特,asibate
阿斯巴甜,asibatian
阿斯匹灵,asipiling
阿斯匹靈,asipiling
阿斯匹林,asipilin
阿司匹林,asipilin
阿嚏,ati
阿土,atu
阿托品,atuopin
阿拖品化,atuopinhua
阿魏,awei
阿物儿,awuer
阿物兒,awuer
阿昔洛韋,axiluowei
阿昔洛韦,axiluowei
錒系元素,axiyuansu
锕系元素,axiyuansu
阿仙药,axianyao
阿仙藥,axianyao
阿乡,axiang
阿鄉,axiang
阿兄,axiong
啊呀,aya
阿亚图拉,ayatula
阿亞圖拉,ayatula
阿姨,ayi
啊喲,ayo
啊哟,ayo
阿育魏实,ayuweishi
阿育魏實,ayuweishi
阿月浑子实,ayuehunzishi
阿月渾子實,ayuehunzishi
阿月浑子树,ayuehunzishu
阿月渾子樹,ayuehunzishu
阿月渾子,ayuehunzi
阿月浑子,ayuehunzi
腌臢,aza
腌臜,aza
唉唉,aiai
哀而不伤,aierbushang
哀而不傷,aierbushang
挨邊,aibian
挨边,aibian
挨边儿,aibianer
挨邊兒,aibianer
哀兵必勝,aibingbisheng
哀兵必胜,aibingbisheng
挨不上,aibushang
挨擦,aica
哀愁,aichou
哀辞,aici
哀辭,aici
哀词,aici
哀詞,aici
挨次,aici
哀悼,aidao
哀的美敦書,aidimeidunshu
哀的美敦书,aidimeidunshu
哀告,aigao
哀告賓服,aigaobinfu
哀告宾服,aigaobinfu
哀歌,aige
挨個,aige
挨个,aige
挨個兒,aigeer
挨个儿,aigeer
哀嚎,aihao
哀号,aihao
哀號,aihao
哀鴻遍野,aihongbianye
哀鸿遍野,aihongbianye
挨戶,aihu
挨户,aihu
埃及豆,aijidou
哀家,aijia
挨家,aijia
挨家挨戶,aijiaaihu
挨家挨户,aijiaaihu
挨肩儿,aijianer
